plugin,plugin_class,method,kind,signature,description,implemented_by_tools,status,priority,firmware_notes
action,Action,arm,async call,(),Send command to arm the drone.,arm_drone,implemented,,
action,Action,arm_force,async call,(),Send command to force-arm the drone without any checks.,,missing,,
action,Action,disarm,async call,(),Send command to disarm the drone.,disarm_drone,implemented,,
action,Action,do_orbit,async call,"(radius_m, velocity_ms, yaw_behavior, latitude_deg, longitude_deg, absolute_altitude_m)",Send command do orbit to the drone.,,missing,,
action,Action,get_return_to_launch_altitude,async call,(),Get the return to launch minimum return altitude (in meters).,,missing,,
action,Action,get_takeoff_altitude,async call,(),Get the takeoff altitude (in meters above ground).,,missing,,
action,Action,goto_location,async call,"(latitude_deg, longitude_deg, absolute_altitude_m, yaw_deg)",Send command to move the vehicle to a specific global position.,"go_to_location, hold_mission_position, hold_position, move_to_relative, reposition, set_flight_mode, set_yaw",implemented,,
action,Action,hold,async call,(),"Send command to hold position (a.k.a. ""Loiter"").",set_flight_mode,implemented,,
action,Action,kill,async call,(),Send command to kill the drone.,kill_motors,implemented,,
action,Action,land,async call,(),Send command to land at the current position.,"land, monitor_flight, set_flight_mode",implemented,,
action,Action,reboot,async call,(),Send command to reboot the drone components.,,missing,,
action,Action,return_to_launch,async call,(),Send command to return to the launch (takeoff) position and land.,"return_to_launch, set_flight_mode",implemented,,
action,Action,set_actuator,async call,"(index, value)",Send command to set the value of an actuator.,,missing,,
action,Action,set_current_speed,async call,(speed_m_s),Set current speed.,,missing,,
action,Action,set_return_to_launch_altitude,async call,(relative_altitude_m),Set the return to launch minimum return altitude (in meters).,,missing,,
action,Action,set_takeoff_altitude,async call,(altitude),Set takeoff altitude (in meters above ground).,takeoff,implemented,,
action,Action,shutdown,async call,(),Send command to shut down the drone components.,,missing,,
action,Action,takeoff,async call,(),Send command to take off and hover.,takeoff,implemented,,
action,Action,terminate,async call,(),Send command to terminate the drone.,,missing,,
action,Action,transition_to_fixedwing,async call,(),Send command to transition the drone to fixedwing.,,missing,,
action,Action,transition_to_multicopter,async call,(),Send command to transition the drone to multicopter.,,missing,,
action_server,ActionServer,arm_disarm,stream (async generator),(),Subscribe to ARM/DISARM commands,,candidate-N/A,,
action_server,ActionServer,flight_mode_change,stream (async generator),(),Subscribe to DO_SET_MODE,,candidate-N/A,,
action_server,ActionServer,get_allowable_flight_modes,async call,(),Get which modes the vehicle can transition to (Manual always allowed),,candidate-N/A,,
action_server,ActionServer,land,stream (async generator),(),Subscribe to land command,,candidate-N/A,,
action_server,ActionServer,reboot,stream (async generator),(),Subscribe to reboot command,,candidate-N/A,,
action_server,ActionServer,set_allow_takeoff,async call,(allow_takeoff),Can the vehicle takeoff,,candidate-N/A,,
action_server,ActionServer,set_allowable_flight_modes,async call,(flight_modes),Set which modes the vehicle can transition to (Manual always allowed),,candidate-N/A,,
action_server,ActionServer,set_armable,async call,"(armable, force_armable)",Can the vehicle arm when requested,,candidate-N/A,,
action_server,ActionServer,set_disarmable,async call,"(disarmable, force_disarmable)",Can the vehicle disarm when requested,,candidate-N/A,,
action_server,ActionServer,shutdown,stream (async generator),(),Subscribe to shutdown command,,candidate-N/A,,
action_server,ActionServer,takeoff,stream (async generator),(),Subscribe to takeoff command,,candidate-N/A,,
action_server,ActionServer,terminate,stream (async generator),(),Subscribe to terminate command,,candidate-N/A,,
calibration,Calibration,calibrate_accelerometer,stream (async generator),(),Perform accelerometer calibration.,,missing,P2,
calibration,Calibration,calibrate_gimbal_accelerometer,stream (async generator),(),Perform gimbal accelerometer calibration.,,missing,P2,
calibration,Calibration,calibrate_gyro,stream (async generator),(),Perform gyro calibration.,,missing,P2,
calibration,Calibration,calibrate_level_horizon,stream (async generator),(),Perform board level horizon calibration.,,missing,P2,
calibration,Calibration,calibrate_magnetometer,stream (async generator),(),Perform magnetometer calibration.,,missing,P2,
calibration,Calibration,cancel,async call,(),Cancel ongoing calibration process.,,missing,P2,
camera,Camera,camera_list,stream (async generator),(),Subscribe to list of cameras.,list_cameras,implemented,P1,ArduCopter 4.5.7 SITL: works at protocol level - returns empty list (plain SITL has no camera backend). Untestable-in-SITL beyond discovery; needs PX4+gazebo or a camera component.
camera,Camera,capture_info,stream (async generator),(),Subscribe to capture info updates.,camera_capture,implemented,P1,
camera,Camera,current_settings,stream (async generator),(),Get the list of current camera settings.,,candidate-N/A,P1,Subscription stream duplicating get_current_settings; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications.
camera,Camera,focus_in_start,async call,(component_id),Start focusing in.,camera_zoom_focus,implemented,P1,
camera,Camera,focus_out_start,async call,(component_id),Start focusing out.,camera_zoom_focus,implemented,P1,
camera,Camera,focus_range,async call,"(component_id, range)",Focus with range value of full range (value between 0.0 and 100.0).,camera_zoom_focus,implemented,P1,
camera,Camera,focus_stop,async call,(component_id),Stop focus.,camera_zoom_focus,implemented,P1,
camera,Camera,format_storage,async call,"(component_id, storage_id)",Format storage (e.g. SD card) in camera.,camera_storage,implemented,P1,
camera,Camera,get_current_settings,async call,(component_id),Get current settings.,camera_settings,implemented,P1,
camera,Camera,get_mode,async call,(component_id),Get camera mode.,camera_settings,implemented,P1,ArduCopter 4.5.7 SITL: returns UNKNOWN (no camera backend). Untestable beyond that.
camera,Camera,get_possible_setting_options,async call,(component_id),Get possible setting options.,camera_settings,implemented,P1,
camera,Camera,get_setting,async call,"(component_id, setting)",Get a setting.,camera_settings,implemented,P1,
camera,Camera,get_storage,async call,(component_id),Get camera's storage status.,camera_storage,implemented,P1,ArduCopter 4.5.7 SITL: untestable - no camera backend; observed CameraError UNAVAILABLE.
camera,Camera,get_video_stream_info,async call,(component_id),Get video stream info.,camera_capture,implemented,P1,
camera,Camera,list_photos,async call,"(component_id, photos_range)",List photos available on the camera.,camera_storage,implemented,P1,
camera,Camera,mode,stream (async generator),(),Subscribe to camera mode updates.,,candidate-N/A,P1,Subscription stream duplicating get_mode; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications.
camera,Camera,possible_setting_options,stream (async generator),(),Get the list of settings that can be changed.,,candidate-N/A,P1,Subscription stream duplicating get_possible_setting_options; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications.
camera,Camera,reset_settings,async call,(component_id),Reset all settings in camera.,camera_settings,implemented,P1,
camera,Camera,set_mode,async call,"(component_id, mode)",Set camera mode.,camera_settings,implemented,P1,
camera,Camera,set_setting,async call,"(component_id, setting)",Set a setting to some value.,camera_settings,implemented,P1,
camera,Camera,start_photo_interval,async call,"(component_id, interval_s)",Start photo timelapse with a given interval.,camera_capture,implemented,P1,
camera,Camera,start_video,async call,(component_id),Start a video recording.,camera_capture,implemented,P1,ArduCopter 4.5.7 SITL: untestable - no camera backend; observed CameraError TIMEOUT.
camera,Camera,start_video_streaming,async call,"(component_id, stream_id)",Start video streaming.,camera_capture,implemented,P1,
camera,Camera,stop_photo_interval,async call,(component_id),Stop a running photo timelapse.,camera_capture,implemented,P1,
camera,Camera,stop_video,async call,(component_id),Stop a running video recording.,camera_capture,implemented,P1,
camera,Camera,stop_video_streaming,async call,"(component_id, stream_id)",Stop current video streaming.,camera_capture,implemented,P1,
camera,Camera,storage,stream (async generator),(),Subscribe to camera's storage status updates.,,candidate-N/A,P1,Subscription stream duplicating get_storage; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications.
camera,Camera,take_photo,async call,(component_id),Take one photo.,camera_capture,implemented,P1,ArduCopter 4.5.7 SITL: untestable - no camera backend; observed CameraError TIMEOUT. Not evidence of firmware unsupport.
camera,Camera,track_point,async call,"(component_id, point_x, point_y, radius)",Track point.,camera_tracking,implemented,P1,
camera,Camera,track_rectangle,async call,"(component_id, top_left_x, top_left_y, bottom_right_x, bottom_right_y)",Track rectangle.,camera_tracking,implemented,P1,
camera,Camera,track_stop,async call,(component_id),Stop tracking.,camera_tracking,implemented,P1,
camera,Camera,video_stream_info,stream (async generator),(),Subscribe to video stream info updates.,,candidate-N/A,P1,Subscription stream duplicating get_video_stream_info; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications.
camera,Camera,zoom_in_start,async call,(component_id),Start zooming in.,camera_zoom_focus,implemented,P1,
camera,Camera,zoom_out_start,async call,(component_id),Start zooming out.,camera_zoom_focus,implemented,P1,
